Date,Timestamp,Open,High,Low,Close,Volume
20200101,20:00:00,28573.5,28608.29,28557.29,28587,0.285764996315265
20200102,00:00:00,28586.28,28622.25,28578,28620.5,0.69574798949543
20200102,04:00:00,28620.5,28645.5,28601.78,28643.3,0.475729991128901
20200102,08:00:00,28642.29,28708.1,28636.1,28675.8,1.80439899504563
20200102,12:00:00,28675.8,28737.45,28622.91,28702.5,2.57534996481695
20200102,16:00:00,28701.99,28777.7,28665.42,28770.46,4.07780105886923
20200102,20:00:00,28768.92,28913.23,28768.2,28897.23,1.69259802580564
20200103,00:00:00,28897.23,28919.25,28636.76,28674.24,4.75885207323472
20200103,04:00:00,28674.24,28716.28,28595.21,28600.7,3.85300505861881
20200103,08:00:00,28600.29,28641.38,28460.31,28515.38,6.35610806023578
20200103,12:00:00,28515.38,28696.46,28512.88,28626.7,10.3417078772802
20200103,16:00:00,28626.7,28715.5,28582.41,28687.42,7.77885395728003
20200103,20:00:00,28687.42,28711.49,28597.42,28633.97,3.07721594136819
20200105,20:00:00,28488.21,28534.28,28478.75,28530.3,1.59621999942465
20200106,00:00:00,28530.3,28540.23,28492.23,28530.22,3.40908005190431
20200106,04:00:00,28530.22,28571.29,28495.2,28508.21,2.57471803867884
20200106,08:00:00,28507.28,28531.39,28382.83,28456.86,5.55282108607764
20200106,12:00:00,28456.86,28570.44,28417.7,28550.7,6.8294731058287
20200106,16:00:00,28550.7,28663.92,28537.5,28627.49,5.05176007824775
20200106,20:00:00,28627.49,28733,28617.4,28654.75,2.62692004149721
20200107,00:00:00,28654.75,28730.29,28650.27,28717.26,2.83280604397805
20200107,04:00:00,28717.26,28764.22,28668.28,28685.26,3.2559600496752
20200107,08:00:00,28688.705,28768.3,28673.32,28680.83,5.05613807742702
20200107,12:00:00,28678.87,28707.88,28562.4,28660.9,7.67694012049378
20200107,16:00:00,28660.47,28684.48,28576.4,28606.7,5.44356008281466
20200107,20:00:00,28607.48,28636.5,28241.2,28299.76,5.49841399427169
20200108,00:00:00,28299.3,28502.5,28119.7,28411.28,15.5109737045314
20200108,04:00:00,28411.28,28476.29,28351.23,28453.29,5.50695989599626
20200108,08:00:00,28452.8,28594.9,28434.31,28557.86,7.86467185033985
20200108,12:00:00,28557.86,28652.94,28513.47,28620.94,8.48525699918116
20200108,16:00:00,28620.49,28819.7,28605.7,28819.7,8.08690612332794
20200108,20:00:00,28819,28865.41,28736.41,28806.22,3.31718205023571
20200109,00:00:00,28806.22,28838.79,28772.7,28808.24,2.90707804542876
20200109,04:00:00,28808.24,28910.3,28802.26,28901.75,2.29572003553039
20200109,08:00:00,28901.27,28913.87,28866.82,28898.88,3.49517805419964
20200109,12:00:00,28897.88,28928.44,28839.47,28918.94,6.18718409365101
20200109,16:00:00,28918.48,28984.7,28880.48,28949.42,6.19127409550492
20200109,20:00:00,28949.16,28986.5,28925.42,28978.21,2.25648003352399
20200110,00:00:00,28978.21,29034.5,28978.21,29032.27,2.06082002923358
20200110,04:00:00,29032.27,29055.23,29020.22,29032,1.16334001770883
20200110,08:00:00,29031.26,29042.9,28991.83,29026.85,2.19024003270897
20200110,12:00:00,29026.85,29028.1,28925.44,28967.46,6.17698209581067
20200110,16:00:00,28968.41,28970.47,28830.48,28866.45,6.02460009559582
20200110,20:00:00,28866.45,28869.2,28785.96,28811.45,2.53475804028494
20200112,20:00:00,28818.76,28870.24,28818.76,28841.73,0.524700008056243
20200113,00:00:00,28841.73,28902.29,28836.26,28889.5,2.03346003133629
20200113,04:00:00,28889.5,28903.28,28882.24,28888.24,0.892680013435893
20200113,08:00:00,28888.24,28939.9,28869.84,28877.31,2.88342004352307
20200113,12:00:00,28877.31,28929.1,28812.43,28877.47,5.68020008878375
20200113,16:00:00,28877.47,28909.95,28853.47,28883.41,4.36968006570532
